gene1,gene2,chr1,chr2,rep,min,interactions.x,interactions.y,interactions.counts
ZNF438,PARD3,10,10,1,0,31175000,34500000,1
ZNF438,PARD3,10,10,1,0,31185000,34500000,1
ZNF438,PARD3,10,10,1,0,31225000,34500000,1
ZNF438,PARD3,10,10,1,0,31245000,34500000,1
ZNF438,PARD3,10,10,1,0,31250000,34500000,1
ZNF438,PARD3,10,10,1,0,31280000,34500000,1
ZNF438,PARD3,10,10,1,0,31310000,34500000,1
ZNF438,PARD3,10,10,1,0,31320000,34500000,1
ZNF438,PARD3,10,10,1,0,31145000,34505000,1
ZNF438,PARD3,10,10,1,0,31155000,34505000,1
ZNF438,PARD3,10,10,1,0,31260000,34505000,1
ZNF438,PARD3,10,10,1,0,31295000,34505000,1
ZNF438,PARD3,10,10,1,0,31155000,34510000,1
ZNF438,PARD3,10,10,1,0,31180000,34510000,1
ZNF438,PARD3,10,10,1,0,31190000,34510000,1
ZNF438,PARD3,10,10,1,0,31265000,34510000,1
ZNF438,PARD3,10,10,1,0,31310000,34510000,1
ZNF438,PARD3,10,10,1,0,31320000,34510000,1
ZNF438,PARD3,10,10,1,0,31170000,34515000,1
ZNF438,PARD3,10,10,1,0,31180000,34515000,1
ZNF438,PARD3,10,10,1,0,31190000,34515000,1
ZNF438,PARD3,10,10,1,0,31195000,34515000,1
ZNF438,PARD3,10,10,1,0,31260000,34515000,1
ZNF438,PARD3,10,10,1,0,31320000,34515000,1
ZNF438,PARD3,10,10,1,0,31170000,34520000,1
ZNF438,PARD3,10,10,1,0,31175000,34520000,1
ZNF438,PARD3,10,10,1,0,31250000,34520000,1
ZNF438,PARD3,10,10,1,0,31300000,34520000,1
ZNF438,PARD3,10,10,1,0,31185000,34525000,1
ZNF438,PARD3,10,10,1,0,31190000,34525000,1
ZNF438,PARD3,10,10,1,0,31200000,34525000,1
ZNF438,PARD3,10,10,1,0,31235000,34525000,1
ZNF438,PARD3,10,10,1,0,31300000,34525000,1
ZNF438,PARD3,10,10,1,0,31135000,34530000,1
ZNF438,PARD3,10,10,1,0,31180000,34530000,1
ZNF438,PARD3,10,10,1,0,31190000,34530000,1
ZNF438,PARD3,10,10,1,0,31200000,34530000,1
ZNF438,PARD3,10,10,1,0,31205000,34530000,1
ZNF438,PARD3,10,10,1,0,31235000,34530000,1
ZNF438,PARD3,10,10,1,0,31285000,34530000,1
ZNF438,PARD3,10,10,1,0,31300000,34530000,1
ZNF438,PARD3,10,10,1,0,31310000,34530000,1
ZNF438,PARD3,10,10,1,0,31185000,34535000,1
ZNF438,PARD3,10,10,1,0,31220000,34535000,1
ZNF438,PARD3,10,10,1,0,31245000,34535000,1
ZNF438,PARD3,10,10,1,0,31255000,34535000,1
ZNF438,PARD3,10,10,1,0,31280000,34535000,1
ZNF438,PARD3,10,10,1,0,31300000,34535000,1
ZNF438,PARD3,10,10,1,0,31305000,34535000,1
ZNF438,PARD3,10,10,1,0,31175000,34540000,1
ZNF438,PARD3,10,10,1,0,31195000,34540000,1
ZNF438,PARD3,10,10,1,0,31230000,34540000,1
ZNF438,PARD3,10,10,1,0,31245000,34540000,1
ZNF438,PARD3,10,10,1,0,31285000,34540000,1
ZNF438,PARD3,10,10,1,0,31300000,34540000,1
ZNF438,PARD3,10,10,1,0,31315000,34540000,1
ZNF438,PARD3,10,10,1,0,31170000,34545000,1
ZNF438,PARD3,10,10,1,0,31180000,34545000,1
ZNF438,PARD3,10,10,1,0,31230000,34545000,1
ZNF438,PARD3,10,10,1,0,31260000,34545000,1
ZNF438,PARD3,10,10,1,0,31295000,34545000,1
ZNF438,PARD3,10,10,1,0,31320000,34545000,1
ZNF438,PARD3,10,10,1,0,31250000,34550000,1
ZNF438,PARD3,10,10,1,0,31290000,34550000,2
ZNF438,PARD3,10,10,1,0,31150000,34555000,1
ZNF438,PARD3,10,10,1,0,31155000,34555000,1
ZNF438,PARD3,10,10,1,0,31170000,34555000,1
ZNF438,PARD3,10,10,1,0,31190000,34555000,1
ZNF438,PARD3,10,10,1,0,31205000,34555000,1
ZNF438,PARD3,10,10,1,0,31270000,34555000,1
ZNF438,PARD3,10,10,1,0,31275000,34555000,1
ZNF438,PARD3,10,10,1,0,31295000,34555000,2
ZNF438,PARD3,10,10,1,0,31315000,34555000,1
ZNF438,PARD3,10,10,1,0,31145000,34560000,1
ZNF438,PARD3,10,10,1,0,31175000,34560000,1
ZNF438,PARD3,10,10,1,0,31180000,34560000,1
ZNF438,PARD3,10,10,1,0,31210000,34560000,2
ZNF438,PARD3,10,10,1,0,31235000,34560000,1
ZNF438,PARD3,10,10,1,0,31200000,34565000,1
ZNF438,PARD3,10,10,1,0,31140000,34570000,1
ZNF438,PARD3,10,10,1,0,31155000,34570000,1
ZNF438,PARD3,10,10,1,0,31165000,34570000,1
ZNF438,PARD3,10,10,1,0,31175000,34570000,1
ZNF438,PARD3,10,10,1,0,31190000,34570000,1
ZNF438,PARD3,10,10,1,0,31220000,34570000,1
ZNF438,PARD3,10,10,1,0,31280000,34570000,1
ZNF438,PARD3,10,10,1,0,31145000,34575000,1
ZNF438,PARD3,10,10,1,0,31155000,34575000,1
ZNF438,PARD3,10,10,1,0,31200000,34575000,1
ZNF438,PARD3,10,10,1,0,31205000,34575000,1
ZNF438,PARD3,10,10,1,0,31230000,34575000,1
ZNF438,PARD3,10,10,1,0,31260000,34575000,1
ZNF438,PARD3,10,10,1,0,31280000,34575000,1
ZNF438,PARD3,10,10,1,0,31295000,34575000,1
ZNF438,PARD3,10,10,1,0,31310000,34575000,1
ZNF438,PARD3,10,10,1,0,31170000,34580000,1
ZNF438,PARD3,10,10,1,0,31195000,34580000,1
ZNF438,PARD3,10,10,1,0,31245000,34580000,1
ZNF438,PARD3,10,10,1,0,31250000,34580000,1
ZNF438,PARD3,10,10,1,0,31260000,34580000,1
ZNF438,PARD3,10,10,1,0,31275000,34580000,1
ZNF438,PARD3,10,10,1,0,31285000,34580000,1
ZNF438,PARD3,10,10,1,0,31200000,34585000,1
ZNF438,PARD3,10,10,1,0,31210000,34585000,1
ZNF438,PARD3,10,10,1,0,31220000,34585000,1
ZNF438,PARD3,10,10,1,0,31250000,34585000,1
ZNF438,PARD3,10,10,1,0,31260000,34585000,1
ZNF438,PARD3,10,10,1,0,31295000,34585000,1
ZNF438,PARD3,10,10,1,0,31315000,34585000,1
ZNF438,PARD3,10,10,1,0,31160000,34590000,1
ZNF438,PARD3,10,10,1,0,31175000,34590000,1
ZNF438,PARD3,10,10,1,0,31235000,34590000,1
ZNF438,PARD3,10,10,1,0,31240000,34590000,1
ZNF438,PARD3,10,10,1,0,31285000,34590000,1
ZNF438,PARD3,10,10,1,0,31245000,34595000,1
ZNF438,PARD3,10,10,1,0,31280000,34595000,1
ZNF438,PARD3,10,10,1,0,31310000,34595000,1
ZNF438,PARD3,10,10,1,0,31135000,34600000,1
ZNF438,PARD3,10,10,1,0,31155000,34600000,1
ZNF438,PARD3,10,10,1,0,31195000,34600000,1
ZNF438,PARD3,10,10,1,0,31230000,34600000,1
ZNF438,PARD3,10,10,1,0,31235000,34600000,1
ZNF438,PARD3,10,10,1,0,31255000,34600000,2
ZNF438,PARD3,10,10,1,0,31300000,34600000,1
ZNF438,PARD3,10,10,1,0,31310000,34600000,1
ZNF438,PARD3,10,10,1,0,31165000,34605000,2
ZNF438,PARD3,10,10,1,0,31180000,34605000,1
ZNF438,PARD3,10,10,1,0,31195000,34605000,1
ZNF438,PARD3,10,10,1,0,31225000,34605000,1
ZNF438,PARD3,10,10,1,0,31300000,34605000,1
ZNF438,PARD3,10,10,1,0,31150000,34610000,1
ZNF438,PARD3,10,10,1,0,31155000,34610000,1
ZNF438,PARD3,10,10,1,0,31160000,34610000,1
ZNF438,PARD3,10,10,1,0,31190000,34610000,1
ZNF438,PARD3,10,10,1,0,31140000,34615000,1
ZNF438,PARD3,10,10,1,0,31175000,34615000,1
ZNF438,PARD3,10,10,1,0,31180000,34615000,1
ZNF438,PARD3,10,10,1,0,31225000,34615000,1
ZNF438,PARD3,10,10,1,0,31275000,34615000,1
ZNF438,PARD3,10,10,1,0,31285000,34615000,1
ZNF438,PARD3,10,10,1,0,31135000,34620000,1
ZNF438,PARD3,10,10,1,0,31155000,34620000,1
ZNF438,PARD3,10,10,1,0,31205000,34620000,1
ZNF438,PARD3,10,10,1,0,31210000,34620000,1
ZNF438,PARD3,10,10,1,0,31315000,34620000,1
ZNF438,PARD3,10,10,1,0,31190000,34625000,1
ZNF438,PARD3,10,10,1,0,31210000,34625000,1
ZNF438,PARD3,10,10,1,0,31300000,34625000,1
ZNF438,PARD3,10,10,1,0,31310000,34625000,1
ZNF438,PARD3,10,10,1,0,31165000,34630000,1
ZNF438,PARD3,10,10,1,0,31180000,34630000,1
ZNF438,PARD3,10,10,1,0,31200000,34630000,2
ZNF438,PARD3,10,10,1,0,31210000,34630000,1
ZNF438,PARD3,10,10,1,0,31235000,34630000,1
ZNF438,PARD3,10,10,1,0,31300000,34630000,1
ZNF438,PARD3,10,10,1,0,31145000,34635000,1
ZNF438,PARD3,10,10,1,0,31185000,34635000,1
ZNF438,PARD3,10,10,1,0,31245000,34635000,1
ZNF438,PARD3,10,10,1,0,31300000,34635000,1
ZNF438,PARD3,10,10,1,0,31150000,34640000,1
ZNF438,PARD3,10,10,1,0,31160000,34640000,1
ZNF438,PARD3,10,10,1,0,31185000,34640000,2
ZNF438,PARD3,10,10,1,0,31230000,34640000,1
ZNF438,PARD3,10,10,1,0,31260000,34640000,1
ZNF438,PARD3,10,10,1,0,31165000,34645000,1
ZNF438,PARD3,10,10,1,0,31185000,34645000,1
ZNF438,PARD3,10,10,1,0,31205000,34645000,1
ZNF438,PARD3,10,10,1,0,31230000,34645000,1
ZNF438,PARD3,10,10,1,0,31260000,34645000,1
ZNF438,PARD3,10,10,1,0,31270000,34645000,1
ZNF438,PARD3,10,10,1,0,31300000,34645000,1
ZNF438,PARD3,10,10,1,0,31160000,34650000,1
ZNF438,PARD3,10,10,1,0,31210000,34650000,1
ZNF438,PARD3,10,10,1,0,31215000,34650000,1
ZNF438,PARD3,10,10,1,0,31255000,34650000,1
ZNF438,PARD3,10,10,1,0,31265000,34650000,1
ZNF438,PARD3,10,10,1,0,31275000,34650000,1
ZNF438,PARD3,10,10,1,0,31145000,34655000,1
ZNF438,PARD3,10,10,1,0,31195000,34655000,1
ZNF438,PARD3,10,10,1,0,31260000,34655000,1
ZNF438,PARD3,10,10,1,0,31265000,34655000,1
ZNF438,PARD3,10,10,1,0,31310000,34655000,1
ZNF438,PARD3,10,10,1,0,31185000,34660000,1
ZNF438,PARD3,10,10,1,0,31225000,34660000,1
ZNF438,PARD3,10,10,1,0,31235000,34660000,2
ZNF438,PARD3,10,10,1,0,31250000,34660000,1
ZNF438,PARD3,10,10,1,0,31260000,34660000,1
ZNF438,PARD3,10,10,1,0,31295000,34660000,1
ZNF438,PARD3,10,10,1,0,31135000,34665000,1
ZNF438,PARD3,10,10,1,0,31155000,34665000,1
ZNF438,PARD3,10,10,1,0,31165000,34665000,1
ZNF438,PARD3,10,10,1,0,31170000,34665000,1
ZNF438,PARD3,10,10,1,0,31210000,34665000,1
ZNF438,PARD3,10,10,1,0,31245000,34665000,1
ZNF438,PARD3,10,10,1,0,31270000,34665000,1
ZNF438,PARD3,10,10,1,0,31275000,34665000,1
ZNF438,PARD3,10,10,1,0,31300000,34665000,1
ZNF438,PARD3,10,10,1,0,31135000,34670000,1
ZNF438,PARD3,10,10,1,0,31150000,34670000,1
ZNF438,PARD3,10,10,1,0,31165000,34670000,1
ZNF438,PARD3,10,10,1,0,31185000,34670000,1
ZNF438,PARD3,10,10,1,0,31250000,34670000,1
ZNF438,PARD3,10,10,1,0,31255000,34670000,1
ZNF438,PARD3,10,10,1,0,31295000,34670000,1
ZNF438,PARD3,10,10,1,0,31300000,34670000,1
ZNF438,PARD3,10,10,1,0,31175000,34675000,1
ZNF438,PARD3,10,10,1,0,31205000,34675000,1
ZNF438,PARD3,10,10,1,0,31225000,34675000,1
ZNF438,PARD3,10,10,1,0,31240000,34675000,1
ZNF438,PARD3,10,10,1,0,31300000,34675000,1
ZNF438,PARD3,10,10,1,0,31320000,34675000,1
ZNF438,PARD3,10,10,1,0,31175000,34680000,1
ZNF438,PARD3,10,10,1,0,31210000,34680000,1
ZNF438,PARD3,10,10,1,0,31145000,34685000,1
ZNF438,PARD3,10,10,1,0,31260000,34685000,1
ZNF438,PARD3,10,10,1,0,31315000,34685000,1
ZNF438,PARD3,10,10,1,0,31140000,34690000,1
ZNF438,PARD3,10,10,1,0,31185000,34690000,1
ZNF438,PARD3,10,10,1,0,31190000,34690000,1
ZNF438,PARD3,10,10,1,0,31210000,34690000,1
ZNF438,PARD3,10,10,1,0,31220000,34690000,2
ZNF438,PARD3,10,10,1,0,31245000,34690000,1
ZNF438,PARD3,10,10,1,0,31265000,34690000,1
ZNF438,PARD3,10,10,1,0,31285000,34690000,1
ZNF438,PARD3,10,10,1,0,31320000,34690000,1
ZNF438,PARD3,10,10,1,0,31135000,34695000,1
ZNF438,PARD3,10,10,1,0,31145000,34695000,1
ZNF438,PARD3,10,10,1,0,31150000,34695000,1
ZNF438,PARD3,10,10,1,0,31170000,34695000,1
ZNF438,PARD3,10,10,1,0,31195000,34695000,1
ZNF438,PARD3,10,10,1,0,31250000,34695000,1
ZNF438,PARD3,10,10,1,0,31290000,34695000,1
ZNF438,PARD3,10,10,1,0,31135000,34700000,1
ZNF438,PARD3,10,10,1,0,31150000,34700000,1
ZNF438,PARD3,10,10,1,0,31180000,34700000,1
ZNF438,PARD3,10,10,1,0,31185000,34700000,1
ZNF438,PARD3,10,10,1,0,31195000,34700000,1
ZNF438,PARD3,10,10,1,0,31215000,34700000,1
ZNF438,PARD3,10,10,1,0,31255000,34700000,1
ZNF438,PARD3,10,10,1,0,31275000,34700000,1
ZNF438,PARD3,10,10,1,0,31300000,34700000,1
ZNF438,PARD3,10,10,1,0,31315000,34700000,1
ZNF438,PARD3,10,10,1,0,31135000,34705000,1
ZNF438,PARD3,10,10,1,0,31155000,34705000,1
ZNF438,PARD3,10,10,1,0,31270000,34705000,1
ZNF438,PARD3,10,10,1,0,31315000,34705000,1
ZNF438,PARD3,10,10,1,0,31320000,34705000,1
ZNF438,PARD3,10,10,1,0,31175000,34710000,1
ZNF438,PARD3,10,10,1,0,31235000,34710000,2
ZNF438,PARD3,10,10,1,0,31250000,34710000,1
ZNF438,PARD3,10,10,1,0,31255000,34710000,1
ZNF438,PARD3,10,10,1,0,31275000,34710000,1
ZNF438,PARD3,10,10,1,0,31285000,34710000,1
ZNF438,PARD3,10,10,1,0,31300000,34710000,1
ZNF438,PARD3,10,10,1,0,31140000,34715000,1
ZNF438,PARD3,10,10,1,0,31155000,34715000,1
ZNF438,PARD3,10,10,1,0,31180000,34715000,1
ZNF438,PARD3,10,10,1,0,31220000,34715000,1
ZNF438,PARD3,10,10,1,0,31245000,34715000,1
ZNF438,PARD3,10,10,1,0,31180000,34720000,1
ZNF438,PARD3,10,10,1,0,31200000,34720000,1
ZNF438,PARD3,10,10,1,0,31150000,34725000,1
ZNF438,PARD3,10,10,1,0,31170000,34725000,2
ZNF438,PARD3,10,10,1,0,31190000,34725000,1
ZNF438,PARD3,10,10,1,0,31200000,34725000,1
ZNF438,PARD3,10,10,1,0,31235000,34725000,1
ZNF438,PARD3,10,10,1,0,31245000,34725000,1
ZNF438,PARD3,10,10,1,0,31265000,34725000,2
ZNF438,PARD3,10,10,1,0,31305000,34725000,1
ZNF438,PARD3,10,10,1,0,31310000,34725000,1
ZNF438,PARD3,10,10,1,0,31140000,34730000,1
ZNF438,PARD3,10,10,1,0,31145000,34730000,1
ZNF438,PARD3,10,10,1,0,31150000,34730000,1
ZNF438,PARD3,10,10,1,0,31210000,34730000,1
ZNF438,PARD3,10,10,1,0,31295000,34730000,1
ZNF438,PARD3,10,10,1,0,31135000,34735000,1
ZNF438,PARD3,10,10,1,0,31170000,34735000,1
ZNF438,PARD3,10,10,1,0,31180000,34735000,1
ZNF438,PARD3,10,10,1,0,31195000,34735000,1
ZNF438,PARD3,10,10,1,0,31215000,34735000,1
ZNF438,PARD3,10,10,1,0,31265000,34735000,1
ZNF438,PARD3,10,10,1,0,31310000,34735000,1
ZNF438,PARD3,10,10,1,0,31145000,34740000,1
ZNF438,PARD3,10,10,1,0,31165000,34740000,1
ZNF438,PARD3,10,10,1,0,31195000,34740000,1
ZNF438,PARD3,10,10,1,0,31215000,34740000,1
ZNF438,PARD3,10,10,1,0,31240000,34740000,2
ZNF438,PARD3,10,10,1,0,31260000,34740000,1
ZNF438,PARD3,10,10,1,0,31265000,34740000,1
ZNF438,PARD3,10,10,1,0,31275000,34740000,1
ZNF438,PARD3,10,10,1,0,31300000,34740000,1
ZNF438,PARD3,10,10,1,0,31240000,34745000,1
ZNF438,PARD3,10,10,1,0,31245000,34745000,1
ZNF438,PARD3,10,10,1,0,31250000,34745000,1
ZNF438,PARD3,10,10,1,0,31255000,34745000,1
ZNF438,PARD3,10,10,1,0,31295000,34745000,2
ZNF438,PARD3,10,10,1,0,31165000,34750000,1
ZNF438,PARD3,10,10,1,0,31170000,34750000,2
ZNF438,PARD3,10,10,1,0,31190000,34750000,1
ZNF438,PARD3,10,10,1,0,31200000,34750000,1
ZNF438,PARD3,10,10,1,0,31205000,34750000,1
ZNF438,PARD3,10,10,1,0,31220000,34750000,1
ZNF438,PARD3,10,10,1,0,31230000,34750000,1
ZNF438,PARD3,10,10,1,0,31235000,34750000,1
ZNF438,PARD3,10,10,1,0,31250000,34750000,1
ZNF438,PARD3,10,10,1,0,31270000,34750000,1
ZNF438,PARD3,10,10,1,0,31275000,34750000,1
ZNF438,PARD3,10,10,1,0,31310000,34750000,1
ZNF438,PARD3,10,10,1,0,31165000,34755000,1
ZNF438,PARD3,10,10,1,0,31265000,34760000,1
ZNF438,PARD3,10,10,1,0,31180000,34765000,1
ZNF438,PARD3,10,10,1,0,31200000,34765000,1
ZNF438,PARD3,10,10,1,0,31235000,34765000,1
ZNF438,PARD3,10,10,1,0,31245000,34765000,1
ZNF438,PARD3,10,10,1,0,31300000,34765000,1
ZNF438,PARD3,10,10,1,0,31315000,34765000,1
ZNF438,PARD3,10,10,1,0,31160000,34770000,1
ZNF438,PARD3,10,10,1,0,31200000,34770000,1
ZNF438,PARD3,10,10,1,0,31215000,34770000,1
ZNF438,PARD3,10,10,1,0,31220000,34770000,1
ZNF438,PARD3,10,10,1,0,31225000,34770000,1
ZNF438,PARD3,10,10,1,0,31270000,34770000,1
ZNF438,PARD3,10,10,1,0,31295000,34770000,1
ZNF438,PARD3,10,10,1,0,31300000,34770000,1
ZNF438,PARD3,10,10,1,0,31195000,34775000,1
ZNF438,PARD3,10,10,1,0,31275000,34775000,1
ZNF438,PARD3,10,10,1,0,31300000,34775000,1
ZNF438,PARD3,10,10,1,0,31165000,34780000,2
ZNF438,PARD3,10,10,1,0,31175000,34780000,1
ZNF438,PARD3,10,10,1,0,31190000,34780000,1
ZNF438,PARD3,10,10,1,0,31195000,34780000,1
ZNF438,PARD3,10,10,1,0,31200000,34780000,1
ZNF438,PARD3,10,10,1,0,31220000,34780000,1
ZNF438,PARD3,10,10,1,0,31265000,34785000,1
ZNF438,PARD3,10,10,1,0,31270000,34785000,1
ZNF438,PARD3,10,10,1,0,31295000,34785000,1
ZNF438,PARD3,10,10,1,0,31310000,34785000,1
ZNF438,PARD3,10,10,1,0,31315000,34785000,1
ZNF438,PARD3,10,10,1,0,31320000,34785000,1
ZNF438,PARD3,10,10,1,0,31165000,34790000,1
ZNF438,PARD3,10,10,1,0,31175000,34790000,1
ZNF438,PARD3,10,10,1,0,31205000,34790000,1
ZNF438,PARD3,10,10,1,0,31145000,34795000,1
ZNF438,PARD3,10,10,1,0,31150000,34795000,1
ZNF438,PARD3,10,10,1,0,31195000,34795000,1
ZNF438,PARD3,10,10,1,0,31200000,34795000,1
ZNF438,PARD3,10,10,1,0,31280000,34795000,1
ZNF438,PARD3,10,10,1,0,31300000,34795000,1
ZNF438,PARD3,10,10,1,0,31170000,34800000,1
ZNF438,PARD3,10,10,1,0,31285000,34800000,1
ZNF438,PARD3,10,10,1,0,31310000,34800000,1
ZNF438,PARD3,10,10,1,0,31140000,34805000,1
ZNF438,PARD3,10,10,1,0,31185000,34805000,2
ZNF438,PARD3,10,10,1,0,31230000,34805000,1
ZNF438,PARD3,10,10,1,0,31240000,34805000,1
ZNF438,PARD3,10,10,1,0,31265000,34805000,1
ZNF438,PARD3,10,10,1,0,31275000,34805000,1
ZNF438,PARD3,10,10,1,0,31170000,34810000,3
